Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
The Twits,Roald Dahl,eBook,9.99,,None,None,None,None
The Twits,Roald Dahl,eBook,9.99,,None,None,None,None
The Twits,Roald Dahl,eBook,9.99,,None,None,None,None
The Twits,Roald Dahl,eBook,9.99,,None,None,None,None
The Twits,Roald Dahl,eBook,9.99,,None,None,None,None
The Twits,Roald Dahl,eBook,9.99,,None,None,None,None
The Twits,Roald Dahl,eBook,9.99,,None,None,None,None
The Twits,Roald Dahl,eBook,9.99,,None,None,None,None
The Twits,Roald Dahl,eBook,9.99,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
George Washington's Secret Six,Brian Kilmeade,eBook,22.29,17.99,None,None,None,None
George Washington's Secret Six,Brian Kilmeade,eBook,22.29,17.99,None,None,None,None
George Washington's Secret Six,Brian Kilmeade,eBook,22.29,17.99,None,None,None,None
George Washington's Secret Six,Brian Kilmeade,eBook,22.29,17.99,None,None,None,None
George Washington's Secret Six,Brian Kilmeade,eBook,22.29,17.99,None,None,None,None
Driving Over Lemons,Chris Stewart,eBook,,,None,None,None,None
Driving Over Lemons,Chris Stewart,eBook,,,None,None,None,None
Driving Over Lemons,Chris Stewart,eBook,,,None,None,None,None
The Jury Master,Robert Dugoni,eBook,17.99,,None,None,None,None
The Jury Master,Robert Dugoni,eBook,17.99,,None,None,None,None
The Jury Master,Robert Dugoni,eBook,17.99,,None,None,None,None
The Jury Master,Robert Dugoni,eBook,17.99,,None,None,None,None
The Jury Master,Robert Dugoni,eBook,17.99,,None,None,None,None
The Jury Master,Robert Dugoni,eBook,17.99,,None,None,None,None
The Jury Master,Robert Dugoni,eBook,17.99,,None,None,None,None
The Jury Master,Robert Dugoni,eBook,17.99,,None,None,None,None
Couples That Work,Jennifer Petriglieri,eBook,18.99,,None,None,None,None
Typhoon Fury,Clive Cussler,eBook,15.99,,None,None,None,None
Typhoon Fury,Clive Cussler,eBook,15.99,,None,None,None,None
Typhoon Fury,Clive Cussler,eBook,15.99,,None,None,None,None
Typhoon Fury,Clive Cussler,eBook,15.99,,None,None,None,None
Typhoon Fury,Clive Cussler,eBook,15.99,,None,None,None,None
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,eBook,12.99,,None,None,None,None
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,eBook,12.99,,None,None,None,None
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,eBook,12.99,,None,None,None,None
The Hunger Games (USA Edition),Suzanne Collins,,40.95,,None,None,None,None
Conversations with Friends,Sally Rooney,eBook,16.49,14.99,None,None,None,None
Conversations with Friends,Sally Rooney,eBook,16.49,14.99,None,None,None,None
Conversations with Friends,Sally Rooney,eBook,16.49,14.99,None,None,None,None
Conversations with Friends,Sally Rooney,eBook,16.49,14.99,None,None,None,None
Strata,Terry Pratchett,eBook,14.99,,None,None,None,None
Strata,Terry Pratchett,eBook,14.99,,None,None,None,None
Strata,Terry Pratchett,eBook,14.99,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
My East End,Gilda O'Neill,eBook,15.99,,None,None,None,None
Artemis Fowl and The Arctic Incident,Eoin Colfer,eBook,9.99,,None,None,None,None
23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,eBook,15.99,,None,None,None,None
23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,eBook,15.99,,None,None,None,None
23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,eBook,15.99,,None,None,None,None
Excalibur,Bernard Cornwell,eBook,15.99,,None,None,None,None
Excalibur,Bernard Cornwell,eBook,15.99,,None,None,None,None
Myers+Chang at Home,Joanne Chang,eBook,46.19,36.99,None,None,None,None
Son,Lois Lowry,eBook,,,None,None,None,None
Dubliners,James Joyce,eBook,8.55,7.99,None,None,None,None
Dubliners,James Joyce,eBook,8.55,7.99,None,None,None,None
Stitch 'N Bitch Crochet,Debbie Stoller,eBook,23.99,,None,None,None,None
Stitch 'N Bitch Crochet,Debbie Stoller,eBook,23.99,,None,None,None,None
Walk Into Silence,Susan McBride,eBook,,,None,None,None,None
Walk Into Silence,Susan McBride,eBook,,,None,None,None,None
Walk Into Silence,Susan McBride,eBook,,,None,None,None,None
Infinity Gauntlet,Jim Starlin,eBook,16.12,12.99,None,None,None,None
Nine Perfect Strangers,Liane Moriarty,eBook,,,None,None,None,None
Nine Perfect Strangers,Liane Moriarty,eBook,,,None,None,None,None
Nine Perfect Strangers,Liane Moriarty,eBook,,,None,None,None,None
Nine Perfect Strangers,Liane Moriarty,eBook,,,None,None,None,None
Nine Perfect Strangers,Liane Moriarty,eBook,,,None,None,None,None
The Fishermen,Chigozie Obioma,eBook,,,None,None,None,None
The Fishermen,Chigozie Obioma,eBook,,,None,None,None,None
The 7 Habits Of Highly Effective Teenagers,Sean Covey,eBook,16.99,,None,None,None,None
The 7 Habits Of Highly Effective Teenagers,Sean Covey,eBook,16.99,,None,None,None,None
The King's Men,Nora Sakavic,eBook,1.43,,None,None,None,None
The King's Men,Nora Sakavic,eBook,1.43,,None,None,None,None
The King's Men,Nora Sakavic,eBook,1.43,,None,None,None,None
The King's Men,Nora Sakavic,eBook,1.43,,None,None,None,None
The King's Men,Nora Sakavic,eBook,1.43,,None,None,None,None
I'm a T. Rex!,Dennis R. Shealy,eBook,8.79,7.99,None,None,None,None
Lucy Sullivan is Getting Married,Marian Keyes,eBook,15.99,,None,None,None,None
The Green Mile,Stephen King,eBook,13.99,,None,None,None,None
The Green Mile,Stephen King,eBook,13.99,,None,None,None,None
Persuasion,Jane Austen,eBook,3.99,,None,None,None,None
